FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=307 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=308 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=309 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=310 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=311 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=312 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=313 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=314 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=315 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=316 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=317 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=318 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=319 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=320 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=321 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=322 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=323 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=324 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=325 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=326 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=327 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=328 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=329 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=330 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=331 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=332 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=333 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=334 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=335 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=336 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=337 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=338 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=339 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=340 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=341 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=342 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=343 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=344 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=345 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=346 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=347 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=348 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=349 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=350 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=351 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=352 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=353 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=354 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=355 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=356 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=357 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=358 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=359 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=360 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=361 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=362 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=363 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=364 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=365 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=366 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=367 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=368 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=369 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=370 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=371 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=372 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=373 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=374 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=375 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=376 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=377 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=378 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=379 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=380 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=381 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=382 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=383 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=384 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=385 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=386 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=387 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=388 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=389 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=390 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=391 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=392 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=393 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=394 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=395 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=396 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=397 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=398 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=399 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=400 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=401 pc=800001c0 next=800001c0 trap=0
